N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8236079097415989,0.7927640953602849,0.7703032260584524,0.16825775656324582,0.7536556015313886,0.250689721770704
Model2,500,2,1,0.8283391968943346,0.7904896990275531,0.779818609973391,0.19749403341288782,0.6684077809952712,0.28502905007690055
Model3,500,3,1,0.8304015528327066,0.7890070084131656,0.7939851164720851,0.28758949880668255,0.5910578302685989,0.35309847815456
Model4,500,1,2,0.854785878927575,0.8513225983378525,0.8203848045146349,0.32100238663484487,0.8712211967883238,0.4382572258302957
Model5,500,2,2,0.8740749727041126,0.8765951332634065,0.8648207155489464,0.5542959427207638,0.8004428425677108,0.6240829254444207
Model6,500,3,2,0.8950624772534271,0.8890385063480031,0.8832888022175219,0.5632458233890215,0.8667286631250931,0.6646316104355433
Model7,800,1,2,0.8641271381778479,0.8510100700844632,0.8396366873229255,0.3794749403341289,0.8144076997274402,0.5052621238409084
Model8,800,2,2,0.884265437340774,0.886171226083102,0.8837478140507119,0.6426014319809069,0.8513214680135827,0.7293570788577056
Model9,800,3,2,0.8741962877593109,0.892618857833924,0.8816288679244758,0.7106205250596659,0.8468480573625607,0.7719654049870673
