N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.87941283513284,0.8605958649921502,0.8600394420206693,0.46121718377088305,0.7827408579775041,0.5659419000527094
Model2,500,2,1,0.8824457115127987,0.8663839536542427,0.8646728637862281,0.46957040572792363,0.8016902200761844,0.5790493777891357
Model3,500,3,1,0.8585466456387237,0.8190743628336288,0.8307264551651315,0.4033412887828162,0.5950321173179665,0.4366954396694877
Model4,500,1,2,0.905738202110882,0.8897930414111002,0.8924453768610622,0.5692124105011933,0.8092310321321511,0.65884474568616
Model5,500,2,2,0.9238141453354362,0.9192687941976904,0.9175876467303317,0.6748210023866349,0.9209568665848958,0.7730381144239712
Model6,500,3,2,0.9253912410530146,0.9223625078330899,0.9219166977870158,0.7267303102625299,0.9040861728591559,0.7972122873121363
Model7,800,1,2,0.9122892150915929,0.9018906336704753,0.9013531483440275,0.6187350835322196,0.848606471077894,0.6986270027378173
Model8,800,2,2,0.9296372679849569,0.9256294143391255,0.9247975524162119,0.7147971360381862,0.9319824252003435,0.801914693937722
Model9,800,3,2,0.934853815358486,0.9316759148215122,0.9314132558742766,0.7416467780429594,0.9324818083625355,0.8209512845845948
